"X,Y"
"В сегодняшнем обзоре я расскажу о том почему стоит нанять отдельного тестировщика.,тестирование; тестирование по; тестирование сайтов; тестирование приложений; разработкчик; тестировщик; управление стартапом; управление; нужен ли; тестирование мобильных приложений; Управление разработкой; Развитие стартапа; Управление персоналом; "
"В мире где каждая ошибка фатальна может произойти что-то грандиозное. Например в одной из стран DEV вылетает шаттл а в другой — нет ни бортовых журналов ни лицензий ни журнала операций.,тестирование; разработка; менеджмент; Разработка веб-сайтов; Разработка мобильных приложений; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В компании Учи.ру мы столкнулись с проблемой конфигурации стейджовых окружений. И вот как мы с ней справились.,микросервисы; тестирование; продакшен; тестовое окружение; Микросервисы; "
"В продаже «Школа для начинающих тестировщиков» — книга-тренинг в которой я рассказала о том что нужно знать новичкам в тестировании.,профессионализм; тестирование; тестирование по; тестирование веб-приложений; тестирование сайтов; тестирование приложений; книга; Тестирование веб-сервисов; Тестирование мобильных приложений; Профессиональная литература; Читальный зал; "
"В описаниях вакансий на HeadHunter чаще всего встречается слово «Тестировщик» или QA в названии вакансии. Это связано с тем что работодатели чаще всего упоминают SQL Web API Java Jira REST Postman Python Git Linux. В некоторых топах по Москве английский даже не попадает тогда как попадает во все питерские и принимает значение встречаемости вплоть до 25.9%. Необычный выход Android iPhone Watch Xbox в топ слов вакансии ""Тестировщика"" без опыта работы в регионе Россия объясняется публикацией во множестве зон одного и того же объявления с содержанием типа «у вас есть любое дополнительное оборудование от старых смартфонов до игровых приставок».,новичкам; тестирование; статистика; Тестирование веб-сервисов; Тестирование мобильных приложений; Тестирование игр; "
"В преддверии релизной презентации мы рассказали о том как устроено тестирование в банках о том что нужно сделать для того чтобы тестирование было более прозрачным и эффективным а также о том каким инструментом лучше всего планировать нагрузку на тестировщиков.,тестирование; планирование ресурсов; "
"В сегодняшнем челлендже 30DaysOfPlaywright мы расскажем о том как настроить средство запуска Playwright Test в локальной среде разработки и научитесь писать сложные тестовые сценарии.,Тестирование веб-сервисов; "
"В Москве прошла конференция QA Meeting Point. На мероприятии выступили инженеры из Lineate Leroy Merlin Grid Dynamics (Польша и Россия) RingCentral «Утконос» и «Долгушев и Сторожилов».,конференция; тестирование приложений; тестирование мобильных приложений; Конференции; "
"В сегодняшнем посте я расскажу о том как обучить junior QA чтобы он начал приносить пользу проекту. В этом посте я собрала ссылки в помощь по каждой теме: видео — варианты из публичного доступа статьи — дополнительный материал. В итоге затраты на подготовку — меньше а польза от новичков — быстрее.,тестирование; тестирование по; тестирование веб-приложений; обучение; обучение онлайн; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В преддверии новогодних праздников в блоге будет опубликован цикл статей посвященных кросс-браузерному тестированию веб-приложений. В этом месяце было решено изучить тему которая привлекает лично меня – e2e-тестирование.,Тестирование веб-сервисов; "
"На этой неделе Intel выпустила новые процессоры — Core i9-12900k. Они существенно уменьшили размер кристалла самого процессора увеличили объём кеш-памяти и сделали его более гибким.,процессоры; тестирование; сравнение производительности; выделенные серверы; Хостинг; Компьютерное железо; Процессоры; "
"В преддверии выбора дата-центра для размещения инфраструктуры Cloud4Y мы попросили рассказать о том как можно оценить производительность оборудования предоставленного провайдером облачных услуг.,тестирование инфраструктуры; облачные сервисы; Серверное администрирование; Облачные сервисы; "
"В сегодняшнем обзоре я расскажу о технологии Java Native Image — технологии позволяющей скомпилировать Java-код в исполняемый файл без старта JVM тратить меньше памяти и иметь меньший размер файла.,микросервисы; Микросервисы; "
"В преддверии написания заглушки для прогнозов погоды мы рассмотрели как сделать изоляцию микросервисов как в этом помогают переключатели функциональности и как создать простое ASP.NET приложение с поддержкой feature toggles которое будет показывать прогноз погоды. В этой части мы закончим работу — напишем заглушку сделаем экспериментальную конечную точку функциональность которой можно включать или выключать не останавливая работу приложения и разберёмся с экстренными ситуациями которые могут возникнуть при разработке приложения.,Программирование; Микросервисы; "
"В компании Учи.ру мы столкнулись с проблемой конфигурации стейджовых окружений. И вот как мы с ней справились.,микросервисы; тестирование; продакшен; тестовое окружение; Микросервисы; "
"В преддверии конференции «Time to market: микрофронтенды» прошедшей в «Леруа Мерлен» рассказали о том как решать проблемы с плохим качеством изображений.,Разработка веб-сайтов; Сжатие данных; Микросервисы; "
"В сегодняшнем обзоре я расскажу о том зачем нужна изоляция микросервисов а также о том как это можно реализовать на примере ASP.NET Core.,Программирование; Микросервисы; "
"Российский производитель микросервисов НЛМК провел встречу с руководством компании и рассказал о том как он работает с монолитами.,микросервисы; монолит; Программирование; Анализ и проектирование систем; Управление разработкой; Микросервисы; "
"В преддверии релиза нового сервиса автоматизации склада Lamoda Inbound Service на проде склад заметил долгий отклик системы. В этой статье я расскажу как это произошло и как удалось предотвратить падение сервиса.,Микросервисы; "
"В сегодняшнем обзоре мы рассмотрим архитектуру «запрос-ответ» (Request-Response) и событийно-ориентированную архитектуру (Event Driven Architecture).,микросервисы; микросервисная архитектура; Микросервисы; "
"В сегодняшнем обзоре я расскажу как можно сделать HTTP API микросервис на C++ с помощью фреймворка Drogon.,с++; микросервисы; туториал; Разработка веб-сайтов; Распределённые системы; Микросервисы; "
"В сегодняшнем материале я попытаюсь оценить производительность систем Camunda и Zeebe с различными параметрами коснусь классических систем по workflow — Apache Camel и Spring Integration а также попытаюсь предложить гибридное решение для повышения производительности.,высокая производительность; эксперимент; микросервисы; Высокая производительность; Микросервисы; "
"В настоящее время информационные технологии достигли высочайшей степени автоматизации разработки программного обеспечения. Мы умеем разрабатывать сложные распределённые приложения в кооперации многих команд можем менять фреймворки для различных уровней архитектуры использовать разные универсальные языки программирования (УЯП) и всё это существует вместе масштабируется выдерживает большие нагрузки позволяет выполнять доработку компонентов не переписывая всю систему.,семантика; предметно-ориентированный язык; микросервисы; Семантика; Анализ и проектирование систем; Бизнес-модели; Микросервисы; "
"В преддверии чемпионата мира по футболу в 2020 году который пройдет в Москве в рамках чемпионата Европы по футболу я хочу поделиться своим мнением о нефинансовых сервисах для мобильного приложения и интернет-банка ВТБ Онлайн.,втб; экосистема; бизнес; технологии; Бизнес-модели; Микросервисы; "
"В преддверии выступления на SaintHighload 2021 в Питере Алексея Ефимова системного архитектора Netcracker и руководителя отдела Cloud Core мы рассказали о том как реализовать «микросервисную модель» в Netcracker.,микросервисы; микросервисная архитектура; высокая производительность; высоконагруженные проекты; маршрутизация; архитектура системы; Высокая производительность; Микросервисы; "
"В сегодняшнем обзоре я расскажу о том почему компании задумываются о микросервисах.,микросервисы; высокая производительность; высоконагруженные проекты; мониторинг; архитектура; Высокая производительность; Совершенный код; Управление разработкой; Микросервисы; "
"В выпуске «Хабрамитап про микросервисы: отвечаем на вопросы с Хабр Q&A» ведущий Андрей Аврамчук ответил на вопросы о микросервисах которые задавал в эфире Хабрамитапа.,микросервисы; микросервисная архитектура; Микросервисы; "
"В сегодняшнем обзоре я расскажу как мы оптимизировали сетевые вызовы чтобы избежать проблем с сетью при переходе в микросервисную архитектуру.,сетевая оптимизация; микросервисы; Сетевые технологии; Микросервисы; "
"В сегодняшнем обзоре «Микросервисы. Паттерны разработки и рефакторинга.» я расскажу о том как можно избежать роста монолита в самом начале жизни проекта.,микросервисы; Микросервисы; "
"После того как я написал статью про паттерн CQRS мне захотелось описать ещё один интересный шаблон для микросервисной архитектуры а именно паттерн saga (он же повествование).,архитектура; Программирование; Микросервисы; "
"На этой неделе я расскажу вам о том как извлечь максимум пользы от работы в качестве технического директора.,управление разработкой; декомпозиция сервисов; Управление разработкой; Микросервисы; "
"В преддверии старта масштабного проекта по отслеживанию активности пользователей на офлайн-площадках в России мы решили сделать это на базе облачного хранилища от Selectel.,системное администрирование; микросервисы; облачные сервисы; распознавание лиц; Системное администрирование; Облачные сервисы; Микросервисы; "
"В сегодняшнем эссе я расскажу о том почему мы пишем тесты в одиночку и почему тесты не ломаются.,автоматизация тестирования; Тестирование мобильных приложений; "
"В сегодняшнем обзоре мы расскажем о том как обеспечить безопасность финансовых транзакций в современных условиях а также о том какие платёжные шлюзы могут защитить от киберпреступников.,тестирование ПО; платежная система; платежи онлайн; платежный шлюз; платежи; финтех; финтех-проекты; банковская безопасность; банковские приложения; банковские технологии; Информационная безопасность; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В сегодняшнем обзоре я расскажу о том как сэкономить время при тестировании мобильных приложений на платформе iOS и Android.,мобильные приложения; кроссплатформенность; флаттер; тестирование мобильных приложений; Тестирование мобильных приложений; "
"В этом посте мы собрали видео с выступлениями наших спикеров которые рассказали о том как тестирование без документации превращается в валидацию написанного жизнь прекрасна но что же делать если так сложилось и у вас нет этого прекрасного «спасательного круга» а вместо документации вы получаете заветное «у нас все описано в коде».,тестирование; тесты; альфа-банк; автотесты; доклады; конференции; Тестирование мобильных приложений; Конференции; "
"В мире где каждая ошибка фатальна может произойти что-то грандиозное. Например в одной из стран DEV вылетает шаттл а в другой — нет ни бортовых журналов ни лицензий ни журнала операций.,тестирование; разработка; менеджмент; Разработка веб-сайтов; Разработка мобильных приложений; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В продаже «Школа для начинающих тестировщиков» — книга-тренинг в которой я рассказала о том что нужно знать новичкам в тестировании.,профессионализм; тестирование; тестирование по; тестирование веб-приложений; тестирование сайтов; тестирование приложений; книга; Тестирование веб-сервисов; Тестирование мобильных приложений; Профессиональная литература; Читальный зал; "
"Build Flavors — технология позволяющая собирать несколько вариантов приложения с общей кодовой базой и общими ресурсами. Причина появления статьи — запутанность и излишняя сложность для такой простой темы официальной документации.,Разработка мобильных приложений; Тестирование мобильных приложений; Дизайн мобильных приложений; "
"В описаниях вакансий на HeadHunter чаще всего встречается слово «Тестировщик» или QA в названии вакансии. Это связано с тем что работодатели чаще всего упоминают SQL Web API Java Jira REST Postman Python Git Linux. В некоторых топах по Москве английский даже не попадает тогда как попадает во все питерские и принимает значение встречаемости вплоть до 25.9%. Необычный выход Android iPhone Watch Xbox в топ слов вакансии ""Тестировщика"" без опыта работы в регионе Россия объясняется публикацией во множестве зон одного и того же объявления с содержанием типа «у вас есть любое дополнительное оборудование от старых смартфонов до игровых приставок».,новичкам; тестирование; статистика; Тестирование веб-сервисов; Тестирование мобильных приложений; Тестирование игр; "
"В преддверии выхода второй версии SDK Android Auto которая должна была интегрироваться в навигатор 2ГИС нам пришлось отказываться от первоначальных идей и внедрять их по-иному. В частности на всех экранах пришлось добавить кнопки зума чтобы дать пользователю масштабировать карту.,2гис; навигатор; управление проектами; тестирование; мобильные приложения; баги; тестирование приложений; карты; Разработка мобильных приложений; Тестирование мобильных приложений; Управление разработкой; "
"В сегодняшнем посте я расскажу о том как обучить junior QA чтобы он начал приносить пользу проекту. В этом посте я собрала ссылки в помощь по каждой теме: видео — варианты из публичного доступа статьи — дополнительный материал. В итоге затраты на подготовку — меньше а польза от новичков — быстрее.,тестирование; тестирование по; тестирование веб-приложений; обучение; обучение онлайн; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В сегодняшнем кейсе я расскажу о том как научить машину кликать на «вон ту большую красную кнопку» и как найти уникальные элементы на экране мобильного телефона.,автотестирование; Разработка мобильных приложений; Тестирование мобильных приложений; "
"В преддверии очередного обновления мобильной платформы Mobile Skyeng мы рассказали о том как мы столкнулись с проблемами в работе с техподдержкой.,тестирование; коммуникации; взаимодействие; общение с коллегами; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В преддверии очередного митапа для тестировщиков мы поговорим о том как снимать логи с мобильных устройств.,тестирование; Тестирование мобильных приложений; "
"На этой неделе я расскажу о том что такое «сборщик продукта» и зачем он нужен.,новичкам; тестирование; тестирование по; разработка; Разработка веб-сайтов; Тестирование веб-сервисов; Тестирование мобильных приложений; Тестирование игр; "
"В сегодняшнем обзоре я расскажу о том зачем нужно печатать вещественное число а также о том как это произошло у нас в проекте.,тестирование; тесты; тестирование веб-приложений; тестирование мобильных приложений; вещественные числа; Совершенный код; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В сегодняшнем обзоре мы поговорим о том почему в Kaspresso нельзя использовать AdbServer а в Appium можно обойтись без него.,мобильное тестирование; Разработка мобильных приложений; Тестирование мобильных приложений; "
"В роли тестировщика я сталкиваюсь с огромным количеством вакансий в том числе и в IT-компаниях. Но несмотря на то что у меня уже есть опыт работы в этой сфере я не считаю что это должно быть именно так.,тестирование; работа в тестировании; советы тестировщику; тестировщик; опыт работы; Тестирование мобильных приложений; Читальный зал; "
"В сегодняшнем обзоре я расскажу о том как я узнала о профессии тестировщика и о том что нужно сделать чтобы войти в IT.,тестирование по; карьера тестировщика; начало карьеры; собеседование на работу; резюме; тестовое задание; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В сегодняшнем обзоре я расскажу о сервисе Samsung Remote Test Lab который позволяет разработчикам тестировать приложения на тысячах реальных устройств Samsung Galaxy без приобретения оборудования.,Тестирование мобильных приложений; "
"Взлома систем через тестовые среды — одна из самых распространенных уязвимостей взлома. Взломы происходят из-за того что специалисты не учитывают все возможные точки входа и не дают разрешения сервисному аккаунту которому дают разрешения которые ему не нужны.,тестирование на проникновение; веб-безопасность; безопасность веб-приложений; безопасность мобильных приложений; Информационная безопасность; Тестирование веб-сервисов; Тестирование мобильных приложений; "
"В сегодняшнем обзоре я расскажу о важности маркировки для успешной продажи товара на кассе.,Маркировка; честный знак; компьютерное зрение; распознавнаие маркировки; верификация маркировки; Алгоритмы; Промышленное программирование; Управление продажами; Читальный зал; "
"В преддверии презентации нового продукта ЭКОНС — системы визуализации технологических процессов — мы рассказали о системе ЭКОНС которая приносит СИБУРу миллиарды рублей в год.,сибур; сибур диджитал; визуализация; дашборды; управление эффективностью; эконс; Визуализация данных; Промышленное программирование; "
"В сегодняшнем обзоре мы рассмотрим платформу 3DEXPERIENCE которая объединяет в себе платформенные решения Dassault Systemes из разных доменов а также рассмотрим процесс совместной разработки изделия с использованием приложений ENOVIA и CATIA.,инженерное проектирование; Анализ и проектирование систем; Промышленное программирование; "
"В SQLAlchemy мы разберем зачем нужны сессии и как они решают проблемы.,базы данных; сессии; Разработка веб-сайтов; Программирование; Промышленное программирование; Софт; "
"В системе SOLIDWORKS существуют 2 типа взаимосвязей: геометрические и размерные. В случае когда проектировщик не знает какую взаимосвязь или размер необходимо добавить следует использовать команду Полностью определить эскиз.,сапр; сапр системы; инженерное проектирование; Анализ и проектирование систем; Проектирование и рефакторинг; Промышленное программирование; "
"В Москве прошел хакатон посвященный разработке Flipper Zero — проекта карманного мультитула для хакеров в формфакторе тамагочи который мы разрабатываем. На нем приняли участие 42 человека и унесли домой 50 Флипперов. В статье описания проектов которые родились на хакатоне глазами самих участников.,хакатон; Промышленное программирование; "
"В преддверии падения цен на нефть в 2014 году аналитики СИБУР Диджитал заработали сотни миллионов рублей за прогнозирование цен на продукцию и сырье на мировых рынках.,сибур; сибур диджитал; прогнозирование; нейросети; анализ рынка; машинное обучение; аналитика данных; моделирование; Визуализация данных; Промышленное программирование; Машинное обучение; "
"В преддверии очередного выпуска статей о производстве установок для присоединения кристаллов и поверхностного монтажа для многокристальной и многоуровневой сборки изделий электронной техники хочу поделиться своим опытом.,С++; Промышленное программирование; Разработка робототехники; Робототехника; "
"В атаке Triton/Trisys/Hatman мошеннический код подавлял состояние оповещения. Чтобы замаскировать атаку противник может подавить бит триггера оповещения и вызвать ложное отрицание (не срабатывание). С помощью этой простой настройки обнаруживается ложный отрицательный результат.,плк; асу; асутп; промышленная автоматизация; промышленное программирование; безопасность; Информационная безопасность; Программирование; Промышленное программирование; Инженерные системы; "
"В сегодняшнем обзоре мы рассмотрим технологию защиты от взлома которую компания ARM недавно внедрила в свою архитектуру для чипов смартфонов.,защита информации; криптография; Криптография; Системное программирование; Промышленное программирование; "
"В условиях интенсивных помех можно существенно снизить уровень помех в каналах измерения тока. Для этого необходимо использовать алгоритмические фильтрации нижних частот которые позволяют исключить помехи и точно практически без запаздывания измерить ток в фазах двигателя. Исследование проводилось с помощью моделирования процессов в среде SimInTech.,ТАУ; электропривод; шим; оптимизация; контур тока; Анализ и проектирование систем; Промышленное программирование; Разработка робототехники; Электроника для начинающих; "
"В сегодняшнем обзоре мы рассмотрим сравнение реального и ожидаемого времени выполнения примитивных операторов языка «C» на двух аппаратных платформах в равных условиях — Cortex M4 и STM32 ARM Cortex M0.,микроконтроллеры; оптимизация; микроинтервалы; Промышленное программирование; Программирование микроконтроллеров; "
"В преддверии очередной атаки злоумышленников на ПЛК мы рассмотрим как можно заметить необычные колебания времени цикла которые могут быть индикатором изменения логики ПЛК и предоставлять полезную информацию для проверки целостности системы.,плк; асу; асутп; промышленная автоматизация; промышленное программирование; безопасность; Информационная безопасность; Программирование; Промышленное программирование; Инженерные системы; "
"В сегодняшнем обзоре я расскажу о том как мы можем использовать структурное логирование в Microsoft.Extensions.Logging для вывода логов на консоль в формате JSON. В качестве примера мы рассмотрим интерфейс ILogger который предоставляет несколько перегрузок метода Log позволяющего указать уровень логирования в качестве параметра а также методов вида Log<уровень> например LogInformation LogError и т.п.,логирование; Программирование; Компиляторы; Промышленное программирование; "
"В преддверии выхода на рынок ПЛК и модулей сетевых интерфейсов которые могут быть использованы для несанкционированной связи мы рассмотрим несколько важных моментов которые следует учитывать при разработке и внедрении ПЛК.,плк; асу; асутп; промышленная автоматизация; безопасность; Информационная безопасность; Программирование; Промышленное программирование; Инженерные системы; "
"В Липецке работает агрегат непрерывного горячего цинкования в котором происходит горячее цинкование металлопроката. Его размеры могут впечатлить: длина 2558 метров – это больше чем два футбольный поля а ширина 21 метр по вертикали от нижней отметки (-70 м) до верхней (+28.5 м).,металлургия; цифровой сервис; цифровой советчик; цифровой подсказчик; цифровизация производства; Анализ и проектирование систем; Промышленное программирование; Машинное обучение; Управление проектами; "
"В сегодняшнем обзоре я расскажу об автоматизированном контроллере поворотного стола для фотографирования который можно использовать для круговой съёмки.,плк; шаговый двигатель; Промышленное программирование; Программирование микроконтроллеров; "
"С помощью программного комплекса Model Studio CS можно разрабатывать электротехнические схемы любой сложности и специализации что существенно экономит время инженера-проектировщика при разработке комплектов документации.,комплексное проектирование; информационное моделирование; гражданское строительство; реестр российских программ; реестр российского по; электротехнические схемы; электротехнические решения; Анализ и проектирование систем; Промышленное программирование; Софт; "
"Сравнение интегралов и независимых от времени измерений может быть выполнено путем интегрирования или дифференцирования зависящих от времени значений в течение определенного периода и их последующего сравнения с независимыми от времени измерениями. Сравнение значений параметров процесса от независимых источников данных с данными SCADA (поступающими “обычным” способом через ПЛК и HMI).,плк; безопасность; асутп; автоматизация; промышленная автоматизация; кибербезопасность; Информационная безопасность; Программирование; Промышленное программирование; Инженерные системы; "
"Вокруг нас появляется все больше различных устройств систем комплексов платформ – технологических информационных киберфизических. Мы не задумываемся о том как кофеварка варит кофе робот-пылесос выбирает маршрут при уборке квартиры система биометрической идентификации определяет человека на видеокадре а портал государственных услуг обрабатывает наше заявление на получение справки об отсутствии судимости.,временные ряды; машинное обучение; анализ данных; поиск аномалий; генеративные модели; Информационная безопасность; Анализ и проектирование систем; Промышленное программирование; Машинное обучение; "
"В статье «Флуоресцентная визуализация в онкологической хирургии» я расскажу о том как этот метод используется в современной хирургии и почему он становится все более популярным.,медицина; онкология; наука; хирургия; флуоресценция; стартап; Развитие стартапа; Биотехнологии; Здоровье; "
"В Калининградской области зяблик метится кольцом. Он залетел в ловушку из рыболовных сетей а затем без сомнений пролетел её до конца до сужения и накопителя. Записать массу пол оценить количество жира измерить длину крыла и вручить ему алюминиевое кольцо с номером.,птица; орнитолог; Фрингилла; биостанция; полевой стационар; пока не надо пулл-реквестов в птиц; Биотехнологии; "
